namespace label|resource label|namespace|resource uri|parent uri|domain|range
dbo|free|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/free|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/FictionalCharacter|http://www.w3.org/2001/XMLSchema#string
dbo|free danse score|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/freeDanseScore|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|http://www.w3.org/2001/XMLSchema#string
dbo|free flight time (s)|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/freeFlightTime|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Spacecraft|http://www.w3.org/2001/XMLSchema#double
dbo|free label|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/freeLabel|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/FictionalCharacter|http://www.w3.org/2001/XMLSchema#string
dbo|free prog competition|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/freeProgCompetition|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|http://www.w3.org/2001/XMLSchema#string
dbo|free prog score|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/freeProgScore|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|http://www.w3.org/2001/XMLSchema#string
dbo|free score competition|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/freeScoreCompetition|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|http://www.w3.org/2001/XMLSchema#string
dbo|frequency (Hz)|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/frequency|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#double
dbo|frequency of publication|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/frequencyOfPublication|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/PeriodicalLiterature|http://www.w3.org/2001/XMLSchema#string
dbo|frequently updated|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/frequentlyUpdated|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Software|http://www.w3.org/2001/XMLSchema#string
dbo|friend|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/friend|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Person
dbo|length of a frontier|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/frontierLength|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Place|http://www.w3.org/2001/XMLSchema#float
dbo|frozen|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/frozen|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/BodyOfWater|http://www.w3.org/2001/XMLSchema#string
dbo|fuel|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/fuel|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||
dbo|fuel capacity (μ³)|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/fuelCapacity|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Automobile|http://www.w3.org/2001/XMLSchema#double
